id,association_id,person_id,membership_number,joined_date,status,notes
1,1,54,MEM-00001,2025-10-10,active,
2,2,116,MEM-00002,2023-09-13,active,
3,3,144,MEM-00003,2019-05-04,active,
4,4,53,MEM-00004,2021-03-02,active,Заметка по членству #4
5,5,164,MEM-00005,2015-12-28,inactive,
6,6,167,MEM-00006,2021-07-13,active,
7,7,178,MEM-00007,2019-12-13,active,
8,8,101,MEM-00008,2015-07-10,active,Заметка по членству #8
9,1,14,MEM-00009,2016-06-04,active,
10,2,27,MEM-00010,2015-01-30,active,
11,3,122,MEM-00011,2023-05-31,expelled,
12,4,78,MEM-00012,2023-04-15,active,Заметка по членству #12
13,5,15,MEM-00013,2019-10-12,active,
14,6,66,MEM-00014,2022-06-02,active,
15,7,80,MEM-00015,2024-10-02,active,
16,8,174,MEM-00016,2019-01-22,active,Заметка по членству #16
17,1,159,MEM-00017,2018-01-13,active,
18,2,47,MEM-00018,2014-10-01,active,
19,3,49,MEM-00019,2021-02-23,active,
20,4,176,MEM-00020,2016-05-07,active,Заметка по членству #20
21,5,158,MEM-00021,2017-10-25,inactive,
22,6,82,MEM-00022,2017-08-11,active,
23,7,152,MEM-00023,2016-02-02,active,
24,8,156,MEM-00024,2024-10-29,active,Заметка по членству #24
25,1,59,MEM-00025,2023-09-04,expelled,
26,2,42,MEM-00026,2017-09-13,active,
27,3,130,MEM-00027,2023-09-27,active,
28,4,155,MEM-00028,2016-04-09,active,Заметка по членству #28
29,5,18,MEM-00029,2018-04-06,active,
30,6,87,MEM-00030,2019-12-14,active,
31,7,179,MEM-00031,2019-11-28,active,
32,8,37,MEM-00032,2019-06-28,active,Заметка по членству #32
33,1,105,MEM-00033,2025-01-04,active,
34,2,28,MEM-00034,2021-09-05,active,
35,3,170,MEM-00035,2015-12-19,active,
36,4,67,MEM-00036,2024-10-09,active,Заметка по членству #36
37,5,57,MEM-00037,2018-12-15,active,
38,6,180,MEM-00038,2020-07-18,deceased,
39,7,113,MEM-00039,2024-08-15,inactive,
40,8,7,MEM-00040,2020-12-01,active,Заметка по членству #40
41,1,177,MEM-00041,2024-07-24,active,
42,2,79,MEM-00042,2019-12-11,active,
43,3,65,MEM-00043,2022-09-10,active,
44,4,117,MEM-00044,2024-07-26,active,Заметка по членству #44
45,5,96,MEM-00045,2023-12-31,active,
46,6,131,MEM-00046,2023-11-12,active,
47,7,34,MEM-00047,2019-01-28,inactive,
48,8,142,MEM-00048,2015-05-20,active,Заметка по членству #48
49,1,58,MEM-00049,2016-03-03,active,
50,2,60,MEM-00050,2021-09-17,inactive,
51,3,38,MEM-00051,2023-04-15,deceased,
