farm_id,association_id,join_date,status,notes
1,1,2022-10-15,active,
2,2,2022-01-29,active,
3,3,2023-04-26,active,
4,4,2022-01-26,active,
5,5,2018-04-08,inactive,Ферма 5 включена в программу развития
6,6,2019-06-19,active,
7,7,2021-11-15,inactive,
8,8,2020-10-27,suspended,
9,1,2024-08-20,active,
10,2,2022-05-02,inactive,Ферма 10 включена в программу развития
11,3,2019-07-24,active,
12,4,2021-12-23,suspended,
13,5,2017-04-29,active,
14,6,2025-05-31,inactive,
15,7,2024-02-26,active,Ферма 15 включена в программу развития
16,8,2019-07-29,inactive,
17,1,2020-08-22,suspended,
18,2,2019-05-27,active,
19,3,2025-03-19,inactive,
20,4,2024-04-12,active,Ферма 20 включена в программу развития
21,5,2024-09-26,active,
22,6,2017-06-22,active,
23,7,2024-07-19,suspended,
24,8,2022-12-02,active,
25,1,2022-05-11,active,Ферма 25 включена в программу развития
26,2,2022-09-08,active,
27,3,2023-09-16,active,
28,4,2016-11-21,active,
29,5,2021-05-06,active,
30,6,2025-06-27,active,Ферма 30 включена в программу развития
31,7,2023-12-26,active,
32,8,2018-01-23,inactive,
33,1,2021-07-05,active,
34,2,2017-11-01,active,
35,3,2016-05-12,active,Ферма 35 включена в программу развития
36,4,2016-03-02,inactive,
37,5,2020-08-18,active,
38,6,2023-07-12,suspended,
39,7,2024-06-30,active,
40,8,2017-12-26,inactive,Ферма 40 включена в программу развития
41,1,2020-12-04,inactive,
42,2,2021-06-29,active,
43,3,2025-09-20,active,
44,4,2018-10-07,active,
45,5,2024-09-14,active,Ферма 45 включена в программу развития
46,6,2024-03-30,active,
47,7,2024-01-28,active,
48,8,2022-11-09,suspended,
49,1,2022-05-31,active,
50,2,2021-11-21,active,Ферма 50 включена в программу развития
51,3,2023-11-24,active,
52,4,2021-11-02,active,
53,5,2021-02-14,active,
54,6,2016-06-22,inactive,
55,7,2018-10-03,active,Ферма 55 включена в программу развития
56,8,2020-06-08,suspended,
57,1,2016-06-09,active,
58,2,2021-10-15,active,
59,3,2016-07-20,active,
60,4,2020-12-05,active,Ферма 60 включена в программу развития
